"C04_PERIODO","INS_COD","C04_APC","C04_PEC","C04_IRS"
201702,"SR",204137549727.3,221084815824,108.3
201702,"TV",2748976861008.5,506466926275,18.42
201702,"RO",4748015853424.5,660454809490,13.91
201702,"PS",22743053876767.7,2510676607251,11.04
201702,"OR",26754469423812.7,3749533485647,14.01
201702,"PP",1029933884688.2,140211667809,13.61
201702,"TP",5023621005073.7,671093966218,13.36
201702,"SP",22870234027654.4,3238421061136,14.16
201702,"WRN",5988776038887.6,853439899810,14.25
201702,"RR",600974970494.8,89116518353,14.83
201702,"PW",25070003336962.9,3392626028612,13.53
201702,"WOQ",139024870814494,19465000488010,14
201702,"QN",32977662275.4,23279954772,70.59
201702,"PU",9116463109336.5,1099962507954,12.07
201702,"TU",703705096960.2,116492969785,16.55
201702,"SN",27136222739606.1,3719820801970,13.71
201702,"UQ",99760744749.6,120563849034,120.85
201702,"WPW",4376938701114.2,586405157448,13.4
201702,"UP",52213797747.3,73313740592,140.41
201702,"SOU",10229334071435.5,1224301265179,11.97
201702,"WTQ",90758747235929.9,12091732960093,13.32
201702,"WUQ",71009177455332.2,9883944135168,13.92
201702,"WVQ",138724841172397,19142485217811,13.8
201702,"WWQ",352243439844.7,395829010791,112.37
201702,"ONOO",161867685436012,22096240944295,13.65
201702,"ONOP",161867685436012,22096240944295,13.65
201702,"ONWQ",124573983404804,16611077984616,13.33
201702,"OONQ",996475320052.8,212753765659,21.35
201702,"PNOQ",98306492681153.7,13186244089362,13.41
201702,"PNOR",101830929528036,14100401377365,13.85
201701,"WOQ",138499224775423,19520892701641,14.09
201701,"WTQ",90486864090525.8,12203819777222,13.49
201701,"WUQ",70581885815579.3,9826695512162,13.92
201701,"WVQ",138195734999792,19197032802417,13.89
201701,"WWQ",363105312531.7,396980516263,109.33
201701,"ONOO",161164641491526,22154481028965,13.75
201701,"ONOP",161164641491526,22154481028965,13.75
201701,"ONWQ",124026902090832,16504547330131,13.31
201701,"OONQ",993735605263.3,213034619886,21.44
201701,"PNOQ",97827476909794.4,13065840668700,13.36
201701,"PNOR",101457376960149,13994924742388,13.79
201701,"PNOS",19182891998881.5,2309204728853,12.04
201701,"PNPQ",22569525130682.5,2509622587743,11.12
201701,"PNQQ",17858955816392.1,3216763230400,18.01
201701,"PNQR",9788936579119.3,1324606809702,13.53
201701,"PNQS",3577393096881.6,1077836609184,30.13
201701,"PNQT",2664655976583,458368058144,17.2
201701,"PNQU",1723541119182.7,253828951219,14.73
201701,"PNQV",200320630046.6,226088541732,112.86
201701,"PNQW",3378332365876.2,856099512111,25.34
201701,"PNRN",199060731005.4,221737097073,111.39
201701,"PNTQ",5146686992783.6,1138930648442,22.13
201702,"TT",996475320052.8,212753765659,21.35
201702,"PNOS",19345797180772,2324263773133,12.01
201702,"PNPQ",22743053876767.7,2510676607251,11.04
201702,"PNQQ",17848144105686.3,3040335337512,17.03
201702,"PNQR",9771636858498.2,1331548775708,13.63
201702,"PNQS",3606303178977.9,889982001044,24.68
201702,"PNQT",2640672994191.7,460669468791,17.45
201702,"PNQU",1733638981648.4,256704637594,14.81
201702,"PNQV",195652837119.7,221994303409,113.46
201702,"PNQW",3402165629250.6,668897185220,19.66
201702,"PNRN",204137549727.3,221084815824,108.3
201702,"PNTQ",5179482905521.8,953718536597,18.41
201701,"UQ",95891585421.1,124039795124,129.35
201703,"SV",44711723225.2,57316101631,128.19
201703,"UQ",112648882735.4,125564988455,111.47
201703,"ST",12416547479.2,20862657183,168.02
201703,"TR",1632332541136.7,251812128875,15.43
201703,"QN",31582974159.1,22674494895,71.79
201703,"SR",541016226741.6,223321040168,41.28
201703,"PS",23157566389664.1,2511704171129,10.85
201703,"RO",4820744665921.5,666373156173,13.82
201703,"OR",26844861845699.6,3719152622346,13.85
201703,"RR",408315916668.7,90297572710,22.11
201703,"PU",9437908452587.4,1106998181918,11.73
201703,"TU",718820731941.4,119284387384,16.59
201703,"PP",1064786946432.8,140413345994,13.19
201703,"TP",5069963992228.9,670001175102,13.22
201703,"PW",25069824894869.8,3364412121246,13.42
201703,"WRN",6285731978198.8,878302394553,13.97
201703,"SN",27492640273513,3761039656966,13.68
201703,"SP",23253288885458.3,3269922028267,14.06
201703,"WPW",4534669786338.2,575975302907,12.7
201703,"UP",67594532778,73319054750,108.47
201703,"TT",1001084367260.9,187001887460,18.68
201703,"SOU",10116306283851.1,1234380904486,12.2
201703,"WOQ",140086807518364,19504906572413,13.92
201703,"WTQ",91119771359624.8,12037194663184,13.21
201703,"WUQ",72124602548403,9979416080358,13.84
201703,"WVQ",139457080046759,19180732278536,13.75
201703,"WWQ",697322004383.1,397493348627,57
201703,"ONOO",163357022790763,22142175731997,13.55
201703,"ONOP",163357022790763,22142175731997,13.55
201703,"ONWQ",125818182289205,16626230599954,13.21
201703,"OONQ",1001084367260.9,187001887460,18.68
201703,"PNOQ",98961541750520.9,13185983486962,13.32
